UniprotID,No. Partners
AGAP2_HUMAN,13
AGAP3_HUMAN,0
AGAP4_HUMAN,0
AGAP5_HUMAN,0
AGAP6_HUMAN,0
AGAP7_HUMAN,0
AGAP9_HUMAN,0
AGFG1_HUMAN,15
AGFG2_HUMAN,5
AGGF1_HUMAN,6
AGIT1_HUMAN,0
AGK_HUMAN,23
AGM1_HUMAN,4
AGO1_HUMAN,28
AGO2_HUMAN,131
AGO3_HUMAN,61
AGO4_HUMAN,61
AGR2_HUMAN,881
AGR3_HUMAN,12
AGRA1_HUMAN,0
AGRA2_HUMAN,2
AGRA3_HUMAN,0
AGRB1_HUMAN,18
AGRB2_HUMAN,0
AGRB3_HUMAN,5
AGRD1_HUMAN,1
AGRD2_HUMAN,0
AGRE1_HUMAN,0
AGRE2_HUMAN,11
AGRE3_HUMAN,0
AGRE4_HUMAN,0
AGRE5_HUMAN,37
AGRF1_HUMAN,0
AGRF2_HUMAN,0
AGRF3_HUMAN,0
AGRF4_HUMAN,0
AGRF5_HUMAN,3
AGRG1_HUMAN,0
AGRG2_HUMAN,0
AGRG3_HUMAN,4
AGRG4_HUMAN,0
AGRG5_HUMAN,83
AGRG6_HUMAN,0
AGRG7_HUMAN,1
AGRIN_HUMAN,201
AGRL1_HUMAN,0
AGRL2_HUMAN,1
AGRL3_HUMAN,0
AGRL4_HUMAN,1
AGRP_HUMAN,9
AGRV1_HUMAN,0
AGT2_HUMAN,2
AGTR1_HUMAN,29
AGTR2_HUMAN,4
AHDC1_HUMAN,3
AHI1_HUMAN,28
AHNK_HUMAN,25
AHNK2_HUMAN,3
AHR_HUMAN,52
AHRR_HUMAN,5
AHSA1_HUMAN,149
AHSA2_HUMAN,0
AHSP_HUMAN,3
AICDA_HUMAN,46
AIDA_HUMAN,6
AIF1_HUMAN,4
AIF1L_HUMAN,6
AIFM1_HUMAN,212
AIFM3_HUMAN,7
AIG1_HUMAN,27
AIM2_HUMAN,2
AIMP1_HUMAN,26
AIMP2_HUMAN,82
AINX_HUMAN,1
AIP_HUMAN,22
AIPL1_HUMAN,10
AIRE_HUMAN,92
AJAP1_HUMAN,3
AJM1_HUMAN,0
AJUBA_HUMAN,21
AK17A_HUMAN,22
AK1A1_HUMAN,8
AK1BA_HUMAN,4
AK1BF_HUMAN,0
AK1C1_HUMAN,3
