Threshold, n_features, performance_score
Thresh=0.0044, n=44, AUROC score: 0.819
Thresh=0.0045, n=41, Accuracy: 0.859
Thresh=0.0045, n=41, Precision: 0.071
Thresh=0.0045, n=41, Recall: 0.656
Thresh=0.0045, n=41, F1 score: 0.128
Thresh=0.0045, n=41, AUROC score: 0.759
Thresh=0.0046, n=37, Accuracy: 0.866
Thresh=0.0046, n=37, Precision: 0.074
Thresh=0.0046, n=37, Recall: 0.656
Thresh=0.0046, n=37, F1 score: 0.133
Thresh=0.0046, n=37, AUROC score: 0.763
Thresh=0.0047, n=35, Accuracy: 0.861
Thresh=0.0047, n=35, Precision: 0.072
Thresh=0.0047, n=35, Recall: 0.656
Thresh=0.0047, n=35, F1 score: 0.130
Thresh=0.0047, n=35, AUROC score: 0.761
Thresh=0.0048, n=32, Accuracy: 0.859
Thresh=0.0048, n=32, Precision: 0.076
Thresh=0.0048, n=32, Recall: 0.719
Thresh=0.0048, n=32, F1 score: 0.138
Thresh=0.0048, n=32, AUROC score: 0.790
Thresh=0.0049, n=30, Accuracy: 0.850
Thresh=0.0049, n=30, Precision: 0.072
Thresh=0.0049, n=30, Recall: 0.719
Thresh=0.0049, n=30, F1 score: 0.131
Thresh=0.0049, n=30, AUROC score: 0.786
Thresh=0.0051, n=29, Accuracy: 0.851
Thresh=0.0051, n=29, Precision: 0.070
Thresh=0.0051, n=29, Recall: 0.688
Thresh=0.0051, n=29, F1 score: 0.127
Thresh=0.0051, n=29, AUROC score: 0.771
Thresh=0.0052, n=27, Accuracy: 0.854
Thresh=0.0052, n=27, Precision: 0.074
Thresh=0.0052, n=27, Recall: 0.719
Thresh=0.0052, n=27, F1 score: 0.134
Thresh=0.0052, n=27, AUROC score: 0.788
Thresh=0.0054, n=27, Accuracy: 0.858
Thresh=0.0054, n=27, Precision: 0.073
Thresh=0.0054, n=27, Recall: 0.688
Thresh=0.0054, n=27, F1 score: 0.132
Thresh=0.0054, n=27, AUROC score: 0.774
Thresh=0.0056, n=24, Accuracy: 0.856
Thresh=0.0056, n=24, Precision: 0.072
Thresh=0.0056, n=24, Recall: 0.688
Thresh=0.0056, n=24, F1 score: 0.131
Thresh=0.0056, n=24, AUROC score: 0.773
Thresh=0.0057, n=22, Accuracy: 0.859
Thresh=0.0057, n=22, Precision: 0.071
Thresh=0.0057, n=22, Recall: 0.656
Thresh=0.0057, n=22, F1 score: 0.128
Thresh=0.0057, n=22, AUROC score: 0.759
Thresh=0.0058, n=20, Accuracy: 0.854
Thresh=0.0058, n=20, Precision: 0.065
Thresh=0.0058, n=20, Recall: 0.625
Thresh=0.0058, n=20, F1 score: 0.118
Thresh=0.0058, n=20, AUROC score: 0.741
Thresh=0.0059, n=19, Accuracy: 0.849
Thresh=0.0059, n=19, Precision: 0.066
Thresh=0.0059, n=19, Recall: 0.656
Thresh=0.0059, n=19, F1 score: 0.120
Thresh=0.0059, n=19, AUROC score: 0.754
Thresh=0.0061, n=18, Accuracy: 0.854
Thresh=0.0061, n=18, Precision: 0.068
Thresh=0.0061, n=18, Recall: 0.656
Thresh=0.0061, n=18, F1 score: 0.124
Thresh=0.0061, n=18, AUROC score: 0.757
Thresh=0.0063, n=16, Accuracy: 0.859
Thresh=0.0063, n=16, Precision: 0.070
Thresh=0.0063, n=16, Recall: 0.656
Thresh=0.0063, n=16, F1 score: 0.127
Thresh=0.0063, n=16, AUROC score: 0.759
Thresh=0.0064, n=15, Accuracy: 0.856
Thresh=0.0064, n=15, Precision: 0.072
Thresh=0.0064, n=15, Recall: 0.688
Thresh=0.0064, n=15, F1 score: 0.131
Thresh=0.0064, n=15, AUROC score: 0.773
Thresh=0.0065, n=14, Accuracy: 0.871
Thresh=0.0065, n=14, Precision: 0.080
Thresh=0.0065, n=14, Recall: 0.688
Thresh=0.0065, n=14, F1 score: 0.143
Thresh=0.0065, n=14, AUROC score: 0.781
Thresh=0.0066, n=12, Accuracy: 0.879
Thresh=0.0066, n=12, Precision: 0.078
Thresh=0.0066, n=12, Recall: 0.625
Thresh=0.0066, n=12, F1 score: 0.139
Thresh=0.0066, n=12, AUROC score: 0.754
Thresh=0.0070, n=12, Accuracy: 0.880
Thresh=0.0070, n=12, Precision: 0.079
Thresh=0.0070, n=12, Recall: 0.625
Thresh=0.0070, n=12, F1 score: 0.140
Thresh=0.0070, n=12, AUROC score: 0.754
Thresh=0.0074, n=11, Accuracy: 0.822
Thresh=0.0074, n=11, Precision: 0.061
Thresh=0.0074, n=11, Recall: 0.719
Thresh=0.0074, n=11, F1 score: 0.113
Thresh=0.0074, n=11, AUROC score: 0.771
Thresh=0.0075, n=9, Accuracy: 0.821
Thresh=0.0075, n=9, Precision: 0.063
Thresh=0.0075, n=9, Recall: 0.750
Thresh=0.0075, n=9, F1 score: 0.116
Thresh=0.0075, n=9, AUROC score: 0.786
Thresh=0.0076, n=7, Accuracy: 0.823
Thresh=0.0076, n=7, Precision: 0.061
Thresh=0.0076, n=7, Recall: 0.719
